date,state,district,pincode,demo_age_5_17,demo_age_17_
28-12-2025,Uttar Pradesh,Gorakhpur,273003,0,5
28-12-2025,Uttar Pradesh,Gorakhpur,273012,1,1
28-12-2025,Uttar Pradesh,Gorakhpur,273013,4,16
28-12-2025,Uttar Pradesh,Gorakhpur,273016,7,35
28-12-2025,Uttar Pradesh,Gorakhpur,273017,0,1
28-12-2025,Uttar Pradesh,Gorakhpur,273161,1,7
28-12-2025,Uttar Pradesh,Gorakhpur,273408,5,35
28-12-2025,Uttar Pradesh,Gorakhpur,273411,4,44
27-12-2025,Uttar Pradesh,Gorakhpur,273004,2,9
27-12-2025,Uttar Pradesh,Gorakhpur,273010,0,13
27-12-2025,Uttar Pradesh,Gorakhpur,273015,4,73
27-12-2025,Uttar Pradesh,Gorakhpur,273016,4,55
27-12-2025,Uttar Pradesh,Gorakhpur,273155,3,9
27-12-2025,Uttar Pradesh,Gorakhpur,273202,8,60
27-12-2025,Uttar Pradesh,Gorakhpur,273211,0,12
19-12-2025,Uttar Pradesh,Gorakhpur,273002,0,35
19-12-2025,Uttar Pradesh,Gorakhpur,273004,0,6
19-12-2025,Uttar Pradesh,Gorakhpur,273006,0,8
19-12-2025,Uttar Pradesh,Gorakhpur,273012,0,1
19-12-2025,Uttar Pradesh,Gorakhpur,273016,1,37
19-12-2025,Uttar Pradesh,Gorakhpur,273161,0,1
19-12-2025,Uttar Pradesh,Gorakhpur,273165,7,49
19-12-2025,Uttar Pradesh,Gorakhpur,273201,4,29
19-12-2025,Uttar Pradesh,Gorakhpur,273209,7,56
19-12-2025,Uttar Pradesh,Gorakhpur,273211,1,21
19-12-2025,Uttar Pradesh,Gorakhpur,273404,0,20
25-12-2025,Uttar Pradesh,Gorakhpur,273009,1,1
31-12-2025,Uttar Pradesh,Gorakhpur,273005,0,22
31-12-2025,Uttar Pradesh,Gorakhpur,273006,0,8
31-12-2025,Uttar Pradesh,Gorakhpur,273017,0,3
31-12-2025,Uttar Pradesh,Gorakhpur,273158,3,45
31-12-2025,Uttar Pradesh,Gorakhpur,273201,3,40
31-12-2025,Uttar Pradesh,Gorakhpur,273209,2,62
31-12-2025,Uttar Pradesh,Gorakhpur,273211,1,24
31-12-2025,Uttar Pradesh,Gorakhpur,273405,0,6
31-12-2025,Uttar Pradesh,Gorakhpur,273408,2,43
31-12-2025,Uttar Pradesh,Gorakhpur,273412,2,54
31-12-2025,Uttar Pradesh,Gorakhpur,273413,5,51
25-12-2025,Uttar Pradesh,Gorakhpur,273005,0,16
25-12-2025,Uttar Pradesh,Gorakhpur,273155,0,2
25-12-2025,Uttar Pradesh,Gorakhpur,273165,3,44
25-12-2025,Uttar Pradesh,Gorakhpur,273211,2,26
25-12-2025,Uttar Pradesh,Gorakhpur,273213,0,9
25-12-2025,Uttar Pradesh,Gorakhpur,273405,1,4
25-12-2025,Uttar Pradesh,Gorakhpur,273411,0,14
24-12-2025,Uttar Pradesh,Gorakhpur,273003,0,2
24-12-2025,Uttar Pradesh,Gorakhpur,273004,1,3
24-12-2025,Uttar Pradesh,Gorakhpur,273007,4,39
24-12-2025,Uttar Pradesh,Gorakhpur,273213,2,21
24-12-2025,Uttar Pradesh,Gorakhpur,273406,2,17
16-12-2025,Uttar Pradesh,Gorakhpur,273155,0,13
16-12-2025,Uttar Pradesh,Gorakhpur,273203,1,17
16-12-2025,Uttar Pradesh,Gorakhpur,273209,6,73
16-12-2025,Uttar Pradesh,Gorakhpur,273306,6,51
16-12-2025,Uttar Pradesh,Gorakhpur,273401,2,21
16-12-2025,Uttar Pradesh,Gorakhpur,273405,1,15
16-12-2025,Uttar Pradesh,Gorakhpur,273406,2,19
16-12-2025,Uttar Pradesh,Gorakhpur,273409,1,15
15-12-2025,Uttar Pradesh,Gorakhpur,273004,0,15
15-12-2025,Uttar Pradesh,Gorakhpur,273007,4,48
15-12-2025,Uttar Pradesh,Gorakhpur,273008,0,25
15-12-2025,Uttar Pradesh,Gorakhpur,273014,5,36
15-12-2025,Uttar Pradesh,Gorakhpur,273211,0,32
15-12-2025,Uttar Pradesh,Gorakhpur,273401,2,41
15-12-2025,Uttar Pradesh,Gorakhpur,273407,8,56
15-12-2025,Uttar Pradesh,Gorakhpur,273413,4,69
10-12-2025,Uttar Pradesh,Gorakhpur,273009,1,1
10-12-2025,Uttar Pradesh,Gorakhpur,273010,1,9
10-12-2025,Uttar Pradesh,Gorakhpur,273015,7,106
10-12-2025,Uttar Pradesh,Gorakhpur,273155,2,5
10-12-2025,Uttar Pradesh,Gorakhpur,273161,1,8
10-12-2025,Uttar Pradesh,Gorakhpur,273165,12,65
10-12-2025,Uttar Pradesh,Gorakhpur,273201,3,47
10-12-2025,Uttar Pradesh,Gorakhpur,273401,2,32
03-12-2025,Uttar Pradesh,Gorakhpur,273001,1,77
03-12-2025,Uttar Pradesh,Gorakhpur,273005,2,32
03-12-2025,Uttar Pradesh,Gorakhpur,273014,2,36
03-12-2025,Uttar Pradesh,Gorakhpur,273161,0,1
03-12-2025,Uttar Pradesh,Gorakhpur,273201,5,38
03-12-2025,Uttar Pradesh,Gorakhpur,273406,1,14
03-12-2025,Uttar Pradesh,Gorakhpur,273408,5,30
03-12-2025,Uttar Pradesh,Gorakhpur,273409,1,10
13-12-2025,Uttar Pradesh,Gorakhpur,273211,5,25
13-12-2025,Uttar Pradesh,Gorakhpur,273402,2,66
13-12-2025,Uttar Pradesh,Gorakhpur,273403,1,32
