date,state,district,pincode,bio_age_5_17,bio_age_17_,city
28-05-2025,Uttar Pradesh,Bareilly,243202,37,7,bareilly
28-05-2025,Uttar Pradesh,Bareilly,243502,6,5,bareilly
28-05-2025,Uttar Pradesh,Bareilly,243504,33,16,bareilly
20-05-2025,Uttar Pradesh,Bareilly,243001,55,25,bareilly
20-05-2025,Uttar Pradesh,Bareilly,243002,0,1,bareilly
20-05-2025,Uttar Pradesh,Bareilly,243003,12,11,bareilly
20-05-2025,Uttar Pradesh,Bareilly,243004,0,1,bareilly
20-05-2025,Uttar Pradesh,Bareilly,243202,43,12,bareilly
20-05-2025,Uttar Pradesh,Bareilly,243402,19,3,bareilly
20-05-2025,Uttar Pradesh,Bareilly,243501,17,4,bareilly
20-05-2025,Uttar Pradesh,Bareilly,243505,47,14,bareilly
29-05-2025,Uttar Pradesh,Bareilly,243006,18,19,bareilly
29-05-2025,Uttar Pradesh,Bareilly,243122,13,22,bareilly
29-05-2025,Uttar Pradesh,Bareilly,243202,28,11,bareilly
29-05-2025,Uttar Pradesh,Bareilly,243302,46,9,bareilly
29-05-2025,Uttar Pradesh,Bareilly,243303,52,10,bareilly
29-05-2025,Uttar Pradesh,Bareilly,243502,12,11,bareilly
29-05-2025,Uttar Pradesh,Bareilly,262406,54,14,bareilly
29-05-2025,Uttar Pradesh,Bareilly,262407,88,13,bareilly
03-06-2025,Uttar Pradesh,Bareilly,243001,41,39,bareilly
03-06-2025,Uttar Pradesh,Bareilly,243203,5,2,bareilly
03-06-2025,Uttar Pradesh,Bareilly,243401,30,4,bareilly
03-06-2025,Uttar Pradesh,Bareilly,243501,16,7,bareilly
30-05-2025,Uttar Pradesh,Bareilly,243003,7,14,bareilly
30-05-2025,Uttar Pradesh,Bareilly,243303,55,7,bareilly
30-05-2025,Uttar Pradesh,Bareilly,243402,17,6,bareilly
16-06-2025,Uttar Pradesh,Bareilly,243006,5,10,bareilly
16-06-2025,Uttar Pradesh,Bareilly,243201,48,29,bareilly
16-06-2025,Uttar Pradesh,Bareilly,243302,10,3,bareilly
16-06-2025,Uttar Pradesh,Bareilly,243501,12,14,bareilly
16-06-2025,Uttar Pradesh,Bareilly,243502,33,13,bareilly
16-06-2025,Uttar Pradesh,Bareilly,262407,8,9,bareilly
04-06-2025,Uttar Pradesh,Bareilly,243504,77,10,bareilly
31-05-2025,Uttar Pradesh,Bareilly,243123,7,4,bareilly
07-06-2025,Uttar Pradesh,Bareilly,243203,1,2,bareilly
07-06-2025,Uttar Pradesh,Bareilly,243303,7,1,bareilly
07-06-2025,Uttar Pradesh,Bareilly,243401,2,0,bareilly
07-06-2025,Uttar Pradesh,Bareilly,243502,2,0,bareilly
08-06-2025,Uttar Pradesh,Bareilly,243006,1,0,bareilly
08-06-2025,Uttar Pradesh,Bareilly,243302,0,1,bareilly
06-06-2025,Uttar Pradesh,Bareilly,243006,5,11,bareilly
06-06-2025,Uttar Pradesh,Bareilly,243302,47,13,bareilly
06-06-2025,Uttar Pradesh,Bareilly,243407,0,1,bareilly
06-06-2025,Uttar Pradesh,Bareilly,243503,87,16,bareilly
06-06-2025,Uttar Pradesh,Bareilly,262406,75,26,bareilly
05-06-2025,Uttar Pradesh,Bareilly,243201,86,38,bareilly
05-06-2025,Uttar Pradesh,Bareilly,243504,41,14,bareilly
05-06-2025,Uttar Pradesh,Bareilly,243506,24,3,bareilly
