date,state,district,pincode,bio_age_5_17,bio_age_17_
25-07-2025,Delhi,New Delhi,110021,0,2
24-07-2025,Delhi,New Delhi,110001,2,3
18-07-2025,Delhi,New Delhi,110001,1,4
18-07-2025,Delhi,New Delhi,110021,1,4
13-09-2025,Delhi,New Delhi,110001,8,2
29-09-2025,Delhi,New Delhi,110023,0,1
03-10-2025,Delhi,New Delhi,110001,9,8
06-10-2025,Delhi,New Delhi,110001,5,6
11-10-2025,Delhi,New Delhi,110021,3,3
13-11-2025,Delhi,New Delhi,110023,1,0
18-11-2025,Delhi,New Delhi,110011,1,0
08-11-2025,Delhi,New Delhi,110021,7,2
11-11-2025,Delhi,New Delhi,110023,1,1
14-11-2025,Delhi,New Delhi,110001,7,5
22-11-2025,Delhi,New Delhi,110001,11,1
27-11-2025,Delhi,New Delhi,110001,8,12
29-11-2025,Delhi,New Delhi,110001,8,6
29-11-2025,Delhi,New Delhi,110021,15,3
26-11-2025,Delhi,New Delhi,110023,0,1
01-12-2025,Delhi,New Delhi,110021,2,1
24-12-2025,Delhi,New Delhi,110001,15,5
24-12-2025,Delhi,New Delhi,110021,3,4
05-12-2025,Delhi,New Delhi,110021,0,3
08-12-2025,Delhi,New Delhi,110021,4,3
06-12-2025,Delhi,New Delhi,110001,4,4
09-12-2025,Delhi,New Delhi,110001,8,1
11-12-2025,Delhi,New Delhi,110011,0,2
14-12-2025,Delhi,New Delhi,110021,2,0
12-12-2025,Delhi,New Delhi,110011,0,2
16-12-2025,Delhi,New Delhi,110021,7,4
01-03-2025,Delhi,New Delhi,110021,211,135
01-04-2025,Delhi,New Delhi,110021,273,146
01-04-2025,Delhi,New Delhi,110001,223,163
01-05-2025,Delhi,New Delhi,110021,127,96
28-10-2025,Delhi,New Delhi,110011,0,1
30-10-2025,Delhi,New Delhi,110011,0,1
27-12-2025,Delhi,New Delhi,110001,15,6
01-01-2026,Delhi,New Delhi,110021,14,14
20-12-2025,Delhi,New Delhi,110011,0,1
21-12-2025,Delhi,New Delhi,110001,0,3
15-12-2025,Delhi,New Delhi,110011,0,2
18-12-2025,Delhi,New Delhi,110023,0,1
16-12-2025,Delhi,New Delhi,110011,1,4
25-11-2025,Delhi,New Delhi,110023,0,2
08-12-2025,Delhi,New Delhi,110023,0,4
08-11-2025,Delhi,New Delhi,110011,0,2
09-11-2025,Delhi,New Delhi,110021,0,2
04-11-2025,Delhi,New Delhi,110023,0,2
06-11-2025,Delhi,New Delhi,110023,0,1
01-11-2025,Delhi,New Delhi,110023,0,1
18-10-2025,Delhi,New Delhi,110023,0,2
18-09-2025,Delhi,New Delhi,110011,0,1
21-09-2025,Delhi,New Delhi,110011,0,1
14-10-2025,Delhi,New Delhi,110023,0,4
26-06-2025,Delhi,New Delhi,110023,0,2
09-06-2025,Delhi,New Delhi,110023,0,1
15-06-2025,Delhi,New Delhi,110021,1,4
15-06-2025,Delhi,New Delhi,110023,0,1
14-06-2025,Delhi,New Delhi,110023,0,1
17-06-2025,Delhi,New Delhi,110023,0,2
04-06-2025,Delhi,New Delhi,110023,1,0
31-05-2025,Delhi,New Delhi,110023,0,2
10-06-2025,Delhi,New Delhi,110023,0,2
13-06-2025,Delhi,New Delhi,110011,0,3
23-05-2025,Delhi,New Delhi,110021,10,3
20-05-2025,Delhi,New Delhi,110021,1,5
03-06-2025,Delhi,New Delhi,110001,6,7
03-06-2025,Delhi,New Delhi,110021,5,10
31-05-2025,Delhi,New Delhi,110001,3,9
06-06-2025,Delhi,New Delhi,110021,2,10
21-05-2025,Delhi,New Delhi,110011,0,1
22-05-2025,Delhi,New Delhi,110001,5,8
11-06-2025,Delhi,New Delhi,110001,2,11
21-06-2025,Delhi,New Delhi,110021,2,2
18-06-2025,Delhi,New Delhi,110001,6,5
24-08-2025,Delhi,New Delhi,110021,0,1
16-07-2025,Delhi,New Delhi,110023,0,2
25-05-2025,Delhi,New Delhi,110001,1,1
25-05-2025,Delhi,New Delhi,110021,0,2
22-05-2025,Delhi,New Delhi,110011,0,1
21-05-2025,Delhi,New Delhi,110023,1,4
17-08-2025,Delhi,New Delhi,110001,0,3
16-08-2025,Delhi,New Delhi,110023,0,2
30-07-2025,Delhi,New Delhi,110011,0,2
18-07-2025,Delhi,New Delhi,110023,1,0
08-07-2025,Delhi,New Delhi,110023,0,4
07-07-2025,Delhi,New Delhi,110023,0,1
