date,state,district,pincode,bio_age_5_17,bio_age_17_
01-11-2025,Uttar Pradesh,Bareilly,243005,25,20
01-11-2025,Uttar Pradesh,Bareilly,243202,95,17
01-11-2025,Uttar Pradesh,Bareilly,243401,6,8
01-11-2025,Uttar Pradesh,Bareilly,243403,2,0
09-11-2025,Uttar Pradesh,Bareilly,243006,0,1
09-11-2025,Uttar Pradesh,Bareilly,243201,1,1
09-11-2025,Uttar Pradesh,Bareilly,243302,3,3
09-11-2025,Uttar Pradesh,Bareilly,243506,1,0
10-11-2025,Uttar Pradesh,Bareilly,243122,40,46
10-11-2025,Uttar Pradesh,Bareilly,243302,56,25
10-11-2025,Uttar Pradesh,Bareilly,243407,2,3
10-11-2025,Uttar Pradesh,Bareilly,243503,96,55
10-11-2025,Uttar Pradesh,Bareilly,262201,1,0
10-11-2025,Uttar Pradesh,Bareilly,262406,97,40
08-10-2025,Uttar Pradesh,Bareilly,243001,44,49
08-10-2025,Uttar Pradesh,Bareilly,243003,18,11
08-10-2025,Uttar Pradesh,Bareilly,243004,2,1
08-10-2025,Uttar Pradesh,Bareilly,243122,32,29
08-10-2025,Uttar Pradesh,Bareilly,243123,27,17
08-10-2025,Uttar Pradesh,Bareilly,243302,36,19
08-10-2025,Uttar Pradesh,Bareilly,243303,63,23
08-10-2025,Uttar Pradesh,Bareilly,243502,26,9
08-10-2025,Uttar Pradesh,Bareilly,243506,20,9
